code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,myProfit,label1
600455,博通股份,软件服务,陕西,175.76,0.5,0.62,71287.27,20086.0,43532.45,14566.34,2.33,0.161,2.15,17.5,20040329,-8120.12,-1.3,-3.28,325.19,52.57,8.7,4674.0,36.2,37.15,37.09,36.2,2769.22,0.77,2.12,37.366,38.43,39.938,4821.35,4892.87,6777.27,0.56,1.44,True
600516,方大炭素,矿物制品,甘肃,17.23,17.19,17.89,1156291.75,842714.81,144872.88,202290.84,1.13,1.16,4.61,5.62,20020830,415598.28,2.32,206.04,2463.89,74.66,38.61,206494.0,23.95,24.6,24.38,23.72,697581.81,0.32,1.33,24.052,24.796,25.808,802385.98,842510.74,875417.84,4.06,1.41,True
600621,华鑫股份,证券,上海,98.07,5.24,10.61,1624948.5,1392440.75,9028.65,181667.3,1.71,0.106,5.5,2.52,19921202,269443.94,2.54,-45.69,-65.57,39.01,45.66,39490.0,12.91,13.08,13.08,12.57,150812.11,0.19,1.47,13.038,12.835,12.306,257080.49,235857.39,183114.09,2.88,1.4,True
000786,北新建材,其他建材,北京,18.38,14.14,17.89,1640711.75,620755.13,738117.88,304224.41,1.7,0.875,6.51,3.3,19970606,627539.88,3.51,38.0,100.01,34.05,19.3,75549.0,22.38,23.23,23.18,22.29,315436.97,0.84,3.76,23.286,24.35,23.347,363526.3,383154.35,394159.14,2.23,1.39,True
002753,永东股份,化工原料,山西,24.4,0.85,2.22,167224.11,96560.68,41332.42,26611.09,1.2,0.631,4.71,4.36,20150519,50863.3,2.29,79.6,183.6,24.05,10.49,17501.0,18.58,19.13,19.08,18.58,8732.25,0.42,2.25,18.974,19.656,20.77,12409.52,12894.73,17613.52,1.03,1.37,True
000488,晨鸣纸业,造纸,山东,8.75,11.06,19.36,9878923.0,4997420.5,2727077.0,614925.75,3.18,1.16,8.55,1.91,20001120,780880.44,4.03,32.33,74.47,33.26,12.36,89049.0,16.18,16.62,16.58,16.12,166324.05,0.41,2.54,16.544,16.628,16.887,176420.72,189571.64,233366.04,1.5,1.37,True
002695,煌上煌,食品,江西,53.91,4.53,5.0,208157.05,135899.73,50927.85,61436.26,1.23,0.244,3.41,5.15,20120905,52758.17,1.06,19.2,49.19,34.93,10.77,95066.0,17.08,17.5,17.4,17.05,34727.28,0.18,1.04,17.398,17.795,18.694,35454.09,46616.91,45614.37,0.77,1.36,True
603729,龙韵股份,广告包装,上海,208.15,0.36,0.67,97434.93,82516.06,7244.75,26724.35,4.01,0.221,12.41,4.95,20150324,46754.8,7.01,-6.88,-53.62,10.85,2.04,5819.0,67.88,68.32,66.7,65.85,10514.66,-0.55,-0.82,70.18,76.644,75.657,11333.94,11506.5,13121.45,2.91,1.34,True
600309,万华化学,化工原料,山东,9.96,25.95,27.34,6275300.0,2369630.25,2687574.5,239298.34,0.88,2.87,8.76,4.33,20010105,1724007.75,6.31,86.14,212.41,39.01,20.05,103648.0,37.0,37.78,37.62,36.76,270905.09,0.57,1.54,38.088,38.963,38.246,403483.06,475948.13,484541.16,1.04,1.32,True
300409,道氏技术,陶瓷,广东,61.62,1.31,2.15,339460.72,226121.42,42296.15,63494.3,2.95,0.516,5.86,7.24,20141203,37575.64,1.75,96.39,34.23,32.24,10.01,17537.0,39.8,41.33,41.12,39.8,22708.48,1.19,2.98,40.742,40.31,43.168,30761.63,33891.42,33680.35,2.05,1.26,True
600340,华夏幸福,区域地产,河北,11.0,29.55,29.55,33648380.0,31025324.0,279688.56,465047.19,1.57,2.02,9.12,3.39,20031230,1819656.38,6.16,21.21,35.3,56.43,20.16,128168.0,31.87,31.87,31.5,31.2,145426.12,-0.4,-1.25,31.822,31.841,31.261,205746.83,241378.68,208165.26,0.49,1.23,True
002460,赣锋锂业,小金属,江西,37.45,5.2,7.29,616668.81,322717.56,80884.43,55093.65,0.76,1.35,4.16,16.52,20100810,162443.86,2.23,40.51,106.57,37.59,35.31,92887.0,69.0,71.51,71.23,67.9,211878.95,2.36,3.43,72.232,71.933,78.458,250708.04,280274.86,278973.74,4.08,1.2,True
002038,双鹭药业,生物制药,北京,43.12,5.66,6.85,436042.91,282423.25,43174.53,747.37,0.01,0.57,6.04,5.43,20040909,304137.5,4.44,10.75,9.41,77.13,50.49,30174.0,37.9,39.03,38.2,37.01,159139.77,0.17,0.45,36.458,35.219,34.478,162926.33,121866.46,138053.34,2.81,1.2,True
300584,海辰药业,化学制药,江苏,41.3,0.2,0.8,57402.41,28236.41,15584.45,25293.11,3.16,0.59,6.23,5.07,20170112,14980.98,1.87,55.38,47.12,77.83,15.21,11482.0,33.5,34.18,34.1,33.5,4660.08,0.19,0.56,33.71,34.46,35.909,5866.26,7192.03,7493.36,2.34,1.2,True
603868,飞科电器,家用电器,上海,40.68,0.44,4.36,296624.38,214313.52,57276.73,68804.5,1.58,1.377,4.99,14.96,20160418,86332.53,1.98,14.4,42.77,39.85,22.52,10651.0,70.91,72.19,70.69,69.88,9354.9,-0.57,-0.8,71.498,73.916,75.886,11462.42,11783.03,12718.49,2.15,1.2,True
603877,太平鸟,服饰,浙江,59.03,0.55,4.81,562312.38,442478.56,40652.4,141676.56,2.95,0.36,6.27,4.44,20170109,109882.7,2.28,9.73,-28.73,55.99,3.94,21338.0,24.86,25.99,25.88,24.83,14581.19,1.03,4.14,24.788,25.377,26.576,14719.04,22498.92,21710.83,2.65,1.19,True
002842,翔鹭钨业,小金属,广东,56.84,0.25,1.0,140393.59,95627.07,17000.39,40200.73,4.02,0.527,7.56,5.28,20170119,21016.81,2.1,36.17,11.61,15.96,7.48,17098.0,42.88,44.92,44.48,42.88,16787.02,0.94,2.16,44.206,46.391,48.065,17346.32,21764.75,22412.33,6.71,1.17,True
002271,东方雨虹,其他建材,北京,28.15,5.7,8.82,1365397.75,997393.0,165208.22,193222.45,2.19,0.98,6.66,5.56,20080910,351572.22,3.99,45.28,20.54,39.85,12.46,28292.0,34.9,35.88,35.55,34.9,41999.13,0.45,1.28,36.512,37.37,37.953,61596.99,60511.82,74886.33,0.74,1.15,True
603040,新坐标,机械基件,浙江,44.08,0.15,0.61,62574.25,43566.53,14319.82,27018.01,4.42,1.3,9.61,7.35,20170209,23133.7,3.79,88.18,120.1,63.49,38.85,5070.0,74.49,76.5,76.12,74.44,5358.08,1.92,2.59,77.378,80.55,84.804,6917.08,9831.64,12266.93,3.57,1.14,True
603696,安记食品,食品,福建,134.36,0.35,1.2,73268.5,49552.76,3784.75,32276.97,2.69,0.219,5.89,6.67,20151209,23325.38,1.94,-2.69,-11.49,34.83,14.45,8158.0,38.48,39.2,39.2,38.48,1444.0,0.29,0.74,38.948,39.008,39.227,1824.63,2237.52,2126.29,0.42,1.14,True
600801,华新水泥,水泥,湖北,15.18,9.73,14.98,2935200.5,789854.69,1591451.38,251120.3,1.68,0.701,7.26,1.95,19940103,629597.56,4.2,56.6,552.79,26.35,7.32,65841.0,14.08,15.16,15.14,13.96,580248.62,1.26,9.08,14.078,13.899,13.408,451288.68,416117.59,324264.35,5.96,1.14,True
002648,卫星石化,化工原料,浙江,17.97,8.01,10.64,1074947.38,595736.06,317853.25,414281.53,3.89,0.81,6.53,2.4,20111228,148896.92,1.4,77.08,601.88,23.91,11.36,32000.0,14.15,14.83,14.82,14.15,75921.47,0.67,4.74,14.354,14.513,14.441,60986.92,68920.55,64968.77,0.95,1.1,True
600259,广晟有色,小金属,海南,1049.13,2.62,3.02,495853.5,398743.91,28909.94,209621.27,6.95,0.027,6.43,5.9,20000525,-48727.3,-1.61,84.2,106.92,5.46,0.2,43538.0,40.22,41.25,40.97,39.4,71338.42,0.56,1.39,39.516,38.641,39.153,68723.66,50259.22,42932.17,2.72,1.06,True
000537,广宇发展,区域地产,天津,134.24,5.13,18.63,2008389.25,1947822.25,422.41,8667.44,0.05,0.26,4.68,2.7,19931210,173082.72,0.93,61.72,-47.61,23.69,4.5,28995.0,13.59,13.95,13.66,13.5,50887.33,0.21,1.56,13.982,14.366,14.212,128812.51,131728.04,115021.89,0.99,1.05,True
600048,保利地产,全国地产,广东,13.32,117.36,118.58,63262392.0,58543904.0,341367.5,1500900.25,1.27,0.697,7.94,1.56,20060731,6425729.5,5.42,-13.31,16.31,32.21,10.95,188114.0,11.95,11.95,11.68,11.42,926541.19,-0.28,-2.34,11.894,11.714,11.129,1386632.71,1677165.21,1287375.66,0.79,1.05,True
600803,新奥股份,农药化肥,河北,31.83,9.86,9.86,2020170.0,547034.0,512129.91,-19058.82,-0.19,0.39,4.96,3.33,19940103,386100.22,3.92,75.4,97.02,25.85,5.48,34804.0,14.0,14.35,14.29,13.92,87118.93,0.52,3.78,13.95,14.331,14.716,77228.17,102629.85,150161.04,0.88,1.04,True
600362,江西铜业,铜,江西,29.02,20.75,34.63,9657144.0,6548315.0,1717497.25,1168589.5,3.37,0.456,13.79,1.28,20020111,1758965.75,5.08,10.58,59.94,4.18,1.02,143497.0,17.03,17.55,17.49,17.03,281317.06,0.31,1.8,17.162,16.82,17.085,314594.87,259610.79,220350.42,1.36,1.04,True
002713,东易日盛,装修装饰,北京,103.89,0.75,2.53,292125.5,166142.16,27029.5,48322.07,1.91,0.167,3.62,6.4,20140219,13354.22,0.53,28.55,182.51,34.97,1.78,12322.0,20.39,20.66,20.64,20.36,5508.34,0.16,0.78,20.624,20.965,22.11,5454.84,9005.2,12506.02,0.74,1.01,True
002805,丰元股份,化工原料,山东,76.82,0.54,0.97,72916.31,28726.65,20011.65,15812.97,1.63,0.291,5.78,5.15,20160707,27082.55,2.79,18.94,59.23,24.2,12.6,15897.0,29.09,30.38,29.9,28.89,10495.51,1.06,3.67,29.848,30.254,31.562,9976.85,10661.33,12634.61,1.93,1.0,True
300340,科恒股份,元器件,广东,34.94,0.85,1.18,332343.81,223414.02,18365.17,95410.15,8.1,1.149,12.31,4.35,20120726,35149.65,2.98,216.67,2218.74,19.27,10.26,13926.0,59.11,60.17,59.71,58.83,23753.48,0.55,0.93,61.202,61.768,67.288,25471.92,28851.56,39820.26,2.9,0.99,True
300577,开润股份,纺织,安徽,57.97,0.3,1.21,73233.93,59859.1,8408.37,15615.95,1.29,0.78,3.69,16.18,20161221,17316.05,1.43,42.86,45.3,31.52,11.74,5413.0,54.61,57.1,56.8,54.61,3952.0,1.0,1.79,56.476,57.65,60.556,3165.09,4678.5,6479.32,1.32,0.99,True
603878,武进不锈,钢加工,江苏,29.38,1.01,2.02,248688.45,197847.95,33155.2,106843.51,5.29,0.46,9.86,1.83,20161219,64158.92,3.18,3.22,4.02,19.21,9.08,24308.0,19.15,19.65,19.59,19.15,13685.68,0.36,1.87,19.486,20.133,21.254,11917.33,14443.51,16226.34,2.71,0.99,True
601888,中国国旅,旅游服务,北京,33.4,19.52,19.52,2063642.38,1693854.75,141136.25,384041.53,1.97,0.977,6.89,6.32,20091015,725418.88,3.72,26.14,30.62,28.41,9.2,28190.0,38.88,39.93,39.1,38.68,110012.33,0.53,1.37,40.682,41.906,42.091,156905.48,161301.37,144402.43,0.56,0.98,True
600383,金地集团,全国地产,深圳,17.25,45.15,45.15,19660154.0,16537208.0,115418.42,361586.19,0.8,0.5,8.18,1.41,20010412,2599615.75,5.76,-18.79,32.32,34.57,10.97,49445.0,12.27,12.29,12.0,11.92,238222.25,-0.3,-2.44,12.18,11.942,11.704,288412.87,314793.59,264651.77,0.53,0.97,True
600507,方大特钢,特种钢,江西,8.67,13.26,13.26,1041598.81,631472.31,212407.2,4625.16,0.03,1.161,2.91,4.62,20030930,204533.25,1.54,67.8,232.56,29.44,15.2,72007.0,14.21,15.48,15.27,13.9,580999.56,0.92,6.41,14.592,14.473,13.888,427191.49,409094.52,385284.99,4.38,0.93,True
600452,涪陵电力,水力发电,重庆,25.4,1.6,1.6,422040.19,102082.32,284731.31,40263.48,2.52,1.122,6.76,5.62,20040303,44296.0,2.77,36.68,38.71,18.08,11.63,7749.0,35.9,36.4,36.07,35.8,4066.29,0.37,1.04,37.16,38.363,39.713,7844.17,7115.71,8932.44,0.25,0.92,True
002831,裕同科技,广告包装,深圳,28.26,1.19,4.0,814957.0,542176.19,165292.94,137343.0,3.43,1.528,11.72,4.91,20161216,276662.25,6.92,25.94,10.9,31.74,13.51,13927.0,64.0,65.18,64.6,64.0,2329.59,0.02,0.03,64.438,65.324,67.292,4772.7,6446.72,8084.82,0.58,0.91,True
002749,国光股份,农药化肥,四川,22.68,0.19,0.75,91145.75,75634.13,1590.12,33063.55,4.41,2.133,11.08,5.82,20150320,35742.7,4.77,16.34,26.53,53.3,27.25,11412.0,78.5,80.64,80.59,77.19,13058.88,2.09,2.66,78.584,76.206,74.429,15719.41,12983.23,10983.56,6.96,0.9,True
002825,纳尔股份,化工原料,上海,78.41,0.29,1.0,73364.56,53068.98,14059.75,20256.07,2.02,0.252,5.67,4.65,20161129,23382.25,2.33,16.29,-48.1,20.1,5.47,17569.0,24.19,24.71,24.68,23.88,7182.66,0.47,1.94,25.558,27.139,28.669,5937.27,9202.55,8335.05,2.87,0.9,True
300294,博雅生物,生物制药,江西,41.17,3.26,4.01,297188.34,139064.02,31457.99,105598.7,2.63,0.557,5.71,5.36,20120308,76186.21,1.9,28.43,24.42,68.14,26.62,20854.0,29.6,30.15,29.88,29.51,22069.4,0.28,0.95,29.918,30.865,32.348,22809.72,18102.43,16034.0,0.68,0.9,True
600593,大连圣亚,旅游服务,辽宁,19.79,0.92,0.92,131770.06,36783.1,20198.81,19775.53,2.15,0.973,5.14,5.0,20020711,16035.25,1.74,13.69,29.31,67.76,29.31,9168.0,24.6,25.0,24.92,24.5,26622.01,0.16,0.65,24.68,24.616,24.255,30904.51,26445.01,19011.11,2.89,0.89,True
601015,陕西黑猫,焦炭加工,陕西,55.71,4.44,12.54,1092577.88,483075.16,353750.81,64488.21,0.51,0.18,3.12,3.2,20141105,120160.97,0.96,114.05,137.46,9.56,2.18,49355.0,10.07,10.69,10.46,9.7,295278.56,0.2,1.95,10.74,10.219,9.651,351313.19,300497.94,247363.84,6.65,0.87,True
001979,招商蛇口,全国地产,深圳,30.17,19.0,79.04,30126196.0,25749788.0,293729.5,1970262.75,2.49,0.47,7.08,2.67,20151230,2522860.0,3.19,-27.89,-33.73,26.59,14.04,101309.0,19.8,19.95,19.41,19.28,178987.92,-0.41,-2.07,19.65,19.418,18.904,270444.68,280564.08,239380.78,0.94,0.86,True
000789,万年青,水泥,江西,20.44,6.13,6.13,845172.88,293580.13,405676.72,24090.26,0.39,0.382,4.69,2.22,19970923,186275.22,3.04,24.3,41.18,22.33,5.07,41902.0,9.88,10.87,10.87,9.7,486788.88,0.99,10.02,10.142,9.828,9.234,365649.18,377604.77,272297.31,7.94,0.85,True
300097,智云股份,电器仪表,辽宁,43.42,1.54,2.89,269858.41,161455.73,10935.07,126891.42,4.4,0.6,6.86,4.83,20100728,40529.45,1.4,124.95,256.04,51.74,23.97,13098.0,33.17,33.93,33.91,31.83,55834.47,0.56,1.68,33.488,32.181,31.896,85532.09,59181.75,50097.91,3.62,0.85,True
002792,通宇通讯,通信设备,广东,54.89,0.71,2.26,301599.38,249861.45,23883.56,75488.96,3.34,0.545,8.53,4.67,20160328,86866.2,3.85,26.44,-21.36,29.59,10.28,28866.0,36.09,37.4,37.35,35.58,47002.73,1.14,3.15,37.408,37.422,37.078,69732.93,65706.99,49393.64,6.67,0.85,True
300121,阳谷华泰,化工原料,山东,22.87,2.73,2.89,154143.84,93299.92,41878.93,14999.55,0.52,0.45,2.69,5.02,20100917,34352.2,1.19,27.59,6.77,29.01,11.19,10978.0,12.54,12.88,12.86,12.5,15014.97,0.27,2.15,12.476,12.652,12.989,17539.47,19467.57,22803.49,0.55,0.85,True
000426,兴业矿业,铅锌,内蒙,33.89,11.48,18.69,895752.0,58537.13,333625.78,227945.34,1.22,0.215,2.8,3.46,19960828,93238.75,0.5,187.53,352.62,62.25,27.72,29692.0,9.55,10.14,10.01,9.41,233667.88,0.61,6.49,9.522,9.491,9.987,112487.69,101988.89,123358.14,2.04,0.85,True
300506,名家汇,建筑施工,深圳,43.96,1.32,3.0,131704.72,101856.77,4100.26,2594.49,0.09,0.392,2.26,10.15,20160324,32330.2,1.08,90.86,139.53,55.93,28.45,45098.0,22.5,23.05,22.99,22.5,16272.33,0.29,1.28,22.836,23.265,24.14,18435.83,23699.36,26301.36,1.23,0.83,True
002706,良信电器,电气设备,上海,26.97,3.64,5.24,207109.25,140953.91,23886.52,61842.98,1.18,0.349,3.2,3.92,20140121,47889.96,0.91,21.54,39.18,39.45,16.49,13077.0,11.51,11.66,11.52,11.44,10859.92,0.08,0.7,11.772,12.108,11.949,16138.04,24454.63,28477.76,0.3,0.83,True
600668,尖峰集团,水泥,浙江,14.15,3.44,3.44,423258.19,94401.8,130618.7,38049.96,1.11,0.847,7.44,2.15,19930728,147943.09,4.3,18.59,72.47,31.02,14.82,27652.0,15.71,16.05,16.0,15.61,30708.43,0.39,2.5,15.766,15.937,16.328,29582.15,34705.13,37940.25,0.89,0.82,True
002300,太阳电缆,电气设备,福建,48.8,5.42,5.43,344271.03,183987.42,108114.15,34788.65,0.64,0.141,2.4,3.82,20091021,22055.99,0.41,14.15,-33.88,8.82,2.68,71190.0,8.18,8.29,8.24,8.12,28673.72,0.1,1.23,8.208,8.417,8.871,38433.33,42923.25,40065.65,0.53,0.82,True
600392,盛和资源,小金属,山西,40.17,9.41,13.5,878951.19,656077.94,55406.48,251877.45,1.87,0.32,3.76,4.21,20030529,113773.22,0.84,644.32,699.24,19.9,10.03,97073.0,16.2,16.9,16.82,16.01,357408.94,0.38,2.31,16.374,16.324,17.369,379964.06,350926.48,344339.91,3.8,0.81,True
601100,恒立液压,工程机械,江苏,47.35,6.3,6.3,593360.38,328732.97,186764.22,208606.77,3.31,0.439,5.94,4.66,20111028,89161.25,1.42,109.51,572.79,31.38,13.63,9552.0,24.2,25.09,24.94,23.99,37784.62,0.71,2.93,25.144,25.251,24.705,50507.64,56309.61,72249.94,0.6,0.8,True
